"Año";"Periodo";"Petróleo";"Gas";"Carbón";"Nuclear";"Hidroeléctrica";"Geotermal, biomasa y otra";"Solar";"Eólica"
"1965";"Año";"14,3";"0";"9,7";"0";"4,5";"0";"0";"0"
"1966";"Año";"16,9";"0";"9";"0";"6,3";"0";"0";"0"
"1967";"Año";"20,5";"0";"9,1";"0";"5,2";"0";"0";"0"
"1968";"Año";"21,8";"0";"9,2";"0";"5,6";"0";"0";"0"
"1969";"Año";"24,8";"0,1";"9,3";"0,2";"7";"0";"0";"0"
"1970";"Año";"28,3";"0,1";"9,8";"0,2";"6,4";"0";"0";"0"
"1971";"Año";"31,1";"0,3";"9,9";"0,6";"7,3";"0";"0";"0"
"1972";"Año";"32,8";"1";"10,1";"1,1";"7,9";"0";"0";"0"
"1973";"Año";"39,4";"1";"9,9";"1,5";"6,5";"0";"0";"0"
"1974";"Año";"41,3";"1,2";"9,6";"1,6";"7";"0";"0";"0"
"1975";"Año";"43";"1,3";"10,6";"1,7";"5,9";"0";"0";"0"
"1976";"Año";"48,8";"1,4";"10,3";"1,7";"4,7";"0";"0";"0"
"1977";"Año";"46";"1,4";"11";"1,5";"9";"0,1";"0";"0"
"1978";"Año";"47,4";"1,4";"9,5";"1,7";"9,1";"0,1";"0";"0"
"1979";"Año";"50,2";"1,4";"10,8";"1,5";"10,5";"0,1";"0";"0"
"1980";"Año";"53,2";"1,8";"12,4";"1,2";"6,7";"0,1";"0";"0"
"1981";"Año";"51,5";"2";"15,3";"2,2";"5";"0,1";"0";"0"
"1982";"Año";"48,7";"2,2";"17";"2";"6";"0,1";"0";"0"
"1983";"Año";"48,8";"2,4";"17,9";"2,4";"6,1";"0,1";"0";"0"
"1984";"Año";"46";"1,9";"18,2";"5,2";"7,1";"0,1";"0";"0"
"1985";"Año";"44,3";"2,1";"18";"6,3";"7,1";"0,1";"0";"0"
"1986";"Año";"43,9";"2,4";"18,6";"8,5";"6";"0,1";"0";"0"
"1987";"Año";"46,1";"2,6";"18,1";"9,3";"6,2";"0,1";"0";"0"
"1988";"Año";"47,2";"3,3";"15,7";"11,4";"8";"0,2";"0";"0"
"1989";"Año";"49,5";"4,3";"19,3";"12,7";"4,4";"0,1";"0";"0"
"1990";"Año";"47,9";"5";"19,2";"12,3";"5,8";"0,1";"0";"0"
"1991";"Año";"48,9";"5,6";"20";"12,6";"6,2";"0,1";"0";"0"
"1992";"Año";"54,9";"5,9";"20,4";"12,6";"4,3";"0,1";"0";"0"
"1993";"Año";"52,3";"5,7";"18,4";"12,7";"5,5";"0,1";"0";"0"
"1994";"Año";"55";"6,3";"18,9";"12,5";"6,4";"0,1";"0";"0"
"1995";"Año";"58,5";"7,7";"19";"12,5";"5,2";"0,2";"0";"0,1"
"1996";"Año";"60,2";"8,6";"16";"12,7";"9";"0,2";"0";"0,1"
"1997";"Año";"62,5";"11,3";"18,4";"12,5";"7,9";"0,3";"0";"0,2"
"1998";"Año";"67,6";"11,6";"17,5";"13,3";"7,7";"0,3";"0";"0,3"
"1999";"Año";"70";"13,3";"19,6";"13,3";"5,2";"0,4";"0";"0,6"
"2000";"Año";"71";"15,2";"20,9";"14,1";"6,7";"0,3";"0";"1,1"
"2001";"Año";"74,1";"16,4";"19,2";"14,4";"9,3";"0,4";"0";"1,5"
"2002";"Año";"74,7";"18,7";"21,6";"14,3";"5,2";"0,6";"0";"2,1"
"2003";"Año";"77,1";"21,3";"20,1";"14";"9,3";"0,7";"0";"2,7"
"2004";"Año";"79,3";"25,2";"21";"14,4";"7,2";"0,8";"0";"3,6"
"2005";"Año";"80,1";"29,8";"20,5";"13";"4";"0,6";"0";"4,8"
"2006";"Año";"80,7";"31,2";"17,9";"13,6";"5,9";"0,6";"0";"5,3"
"2007";"Año";"81,2";"31,8";"20";"12,5";"6,2";"0,7";"0,1";"6,2"
"2008";"Año";"78,7";"34,9";"13,5";"13,3";"5,3";"0,7";"0,6";"7,5"
"2009";"Año";"74,1";"31,2";"9,4";"11,9";"6";"0,8";"1,4";"8,6"
"2010";"Año";"72,7";"31,1";"6,9";"13,9";"9,5";"0,9";"1,6";"9,9"
"2011";"Año";"69,6";"28,9";"12,8";"13,1";"6,9";"1";"2";"9,6"
"2012";"Año";"65,5";"28,6";"15,5";"13,9";"4,6";"1,1";"2,7";"11,2"
"2013";"Año";"60,5";"26,1";"11,4";"12,8";"8,3";"1,2";"3";"12,6"
"2014";"Año";"60,3";"23,7";"11,6";"13";"8,9";"1,2";"3,1";"11,8"
"2015";"Año";"62,2";"24,5";"13,7";"13";"6,4";"1,3";"3,1";"11,2"
"2016";"Año";"64,5";"25";"10,5";"13,3";"8,2";"1,3";"3,1";"11,1"
"2017";"Año";"65";"27,3";"13,4";"13,1";"4,2";"1,4";"3,2";"11,1"
"2018";"Año";"66,6";"27,1";"11,1";"12,6";"8";"1,7";"2,8";"11,5"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Petróleo"
"Fuente":"BP"
"Clasificación":""
"Unidad":"toneladas equivalentes de petróleo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Gas"
"Fuente":"BP"
"Clasificación":""
"Unidad":"toneladas equivalentes de petróleo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Carbón"
"Fuente":"BP"
"Clasificación":""
"Unidad":"toneladas equivalentes de petróleo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Nuclear"
"Fuente":"BP"
"Clasificación":""
"Unidad":"toneladas equivalentes de petróleo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;;;;;;
